Category,Groups,Summary,Keywords,OLCs,geometry
🪧Wayfinding & Signage,Way0,Time lapse photo gallery of sign north side trail utility dog walking trail,"crowd, dog, gallery, trail",85QFMC9M+XP,"LINESTRING (-110.56654 45.670111, -110.566224 45.670144, -110.565929 45.670178, -110.565677 45.670141, -110.565403 45.670167, -110.565103 45.670118, -110.564893 45.66995, -110.565306 45.66977, -110.56558 45.669627, -110.565763 45.669526, -110.566245 45.669788, -110.566541 45.670039)"
🪧Wayfinding & Signage,Way0,Time lapse photo gallery of sign north side trail utility dog walking trail,"crowd, dog, gallery, trail",85QFMC9M+R9,"POLYGON ((-110.566648 45.669815, -110.566857 45.669702, -110.566589 45.66941, -110.566438 45.669477, -110.566331 45.669575, -110.566648 45.669815))"
🪧Wayfinding & Signage,Way0,Time lapse photo gallery of sign north side trail utility dog walking trail,"crowd, dog, gallery, trail",85QFMC9M+RP,"POLYGON ((-110.565693 45.669676, -110.565832 45.669597, -110.565902 45.669578, -110.565902 45.669563, -110.565838 45.669436, -110.565811 45.66947, -110.565457 45.669672, -110.565564 45.669728, -110.565693 45.669676))"
🪧Wayfinding & Signage,Way1,Entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance entrance,entrance,85QFMCCP+35,"POLYGON ((-110.56448 45.670212, -110.564631 45.670144, -110.564539 45.670051, -110.564395 45.670122, -110.56448 45.670212))"
🪧Wayfinding & Signage,Way2,Mountain Range Peak Interpretative Signage Planting Information,"area, mountain, peak, signage",85QFMC9M+Q2,"POLYGON ((-110.567474 45.669578, -110.567581 45.669541, -110.567629 45.669249, -110.567468 45.669252, -110.567291 45.669267, -110.567399 45.669398, -110.567442 45.669485, -110.567474 45.669578))"
🪧Wayfinding & Signage,Way2,Mountain Range Peak Interpretative Signage Planting Information,"area, mountain, peak, signage",85QFMC9M+VQ,"POLYGON ((-110.565526 45.669721, -110.565671 45.669593, -110.565736 45.669511, -110.565703 45.669507, -110.565478 45.66962, -110.565312 45.669728, -110.565414 45.669743, -110.565526 45.669721))"
🪧Wayfinding & Signage,Way3,Overlook scenic overlook overlook,"overlook, scenic",85QFMC9M+W7,"POLYGON ((-110.566819 45.669968, -110.566954 45.669852, -110.566792 45.669702, -110.566669 45.669788, -110.566557 45.669894, -110.566819 45.669968))"
🪧Wayfinding & Signage,Way3,Overlook scenic overlook overlook,"overlook, scenic",85QFMC9M+X7,"POLYGON ((-110.566707 45.670081, -110.566932 45.669972, -110.56683 45.669845, -110.566573 45.669976, -110.566707 45.670081))"
🪧Wayfinding & Signage,Way4,Informational signage park general park signage trash poop bag,"bag, general, informational, park",85QFMC9M+G6,"POLYGON ((-110.566868 45.66896, -110.567055 45.66884, -110.567023 45.668757, -110.566766 45.668926, -110.566868 45.66896))"
🪧Wayfinding & Signage,Way4,Informational signage park general park signage trash poop bag,"bag, general, informational, park",85QFMC9J+CX,"POLYGON ((-110.567816 45.668753, -110.56779 45.668726, -110.567489 45.668509, -110.567462 45.668561, -110.567816 45.668753))"
